turn,player,productivity,solid_pollution,water_pollution
1,0,1398.9413603103867,252284.7296084121,55416.043419403744
1,1,290.04896227014143,84496.34919347843,20232.875787178808
1,2,350.79882559082034,50443.81711234244,10386.466964496163
1,3,368.1285100979474,81320.45932414502,15380.781912013399
1,4,389.9650623514775,36024.10397844622,9415.918755715373
2,0,1426.8816104429102,316255.968105752,47192.1922597229
2,1,309.03524021004444,100937.43534161287,17121.353271926902
2,2,311.8758239205625,73573.44823510319,9500.294598244607
2,3,403.9447343954105,85253.63713425992,12734.347845107726
2,4,402.0258119168926,56491.44739477605,7836.196544443666
3,0,1339.809143756969,305064.84864431265,39207.966108143024
3,1,301.681867241788,99399.21274243364,14039.727896649456
3,2,357.8373926781874,38722.900894051585,7642.963916601157
3,3,291.17860556284216,105890.4867998247,10668.856576034217
3,4,389.1112782741514,61052.248208002704,6856.4177188582
