turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,1397.7586220493172,253163.0850545715,56109.73383838283,75
1,1,293.4332785079828,84843.29035815873,20543.921407420166,75
1,2,351.54249350596285,50859.82450576188,10618.937365111313,75
1,3,364.08665206350213,80677.80200188805,15340.841618716626,75
1,4,388.69619797186937,36782.16818876285,9606.033447134732,75
2,0,1472.482765212492,265380.0737823253,48271.46717327906,74
2,1,298.45966403190056,102632.86888630109,17775.992261681244,74
2,2,377.93158440947263,41995.313156298565,9790.69519830546,74
2,3,401.46819663841904,76092.47304685206,12804.10867359434,74
2,4,394.6233201326997,44659.418692873616,7900.671039698009,74
3,0,1434.1428234490133,302385.88859041897,39351.829026148764,38
3,1,288.94325991286547,120285.69466176961,14424.658411194541,38
3,2,369.1581248305991,48834.13732633223,8105.6847637888695,38
3,3,392.5280903997765,84344.42387718741,10400.956223088844,38
3,4,383.51334830577235,48921.63272512971,6420.529628076508,38
4,0,1483.0870715401709,263661.73420183157,21707.13372749238,74
4,1,301.8020270868566,107448.21890637939,7391.688463397367,74
4,2,376.999420861393,42374.41764997725,4997.692064380903,74
4,3,401.4012924984715,69064.9276406426,5964.314414535965,74
4,4,402.88433109344993,44774.17000483233,3353.4387851781416,74
